lemma,type,comment,tag,form,ipa,py_ipa_original,py_ipa_tweak
неви́мушений,прикметник,,однина чол. р. місцевий,неви́мушенім,neˈu̯ɪmʊʃenʲim,neˈu̯ɪmʊʃenʲim,neˈu̯ɪmʊʃenʲim
незаче́саний,прикметник,,однина жін. р. місцевий,незаче́саній,nezɐˈt͡ʃɛsɐnʲii̯,nezɐˈt͡ʃɛsɐnʲii̯,nezɐˈt͡ʃɛsɐnʲii̯
некліти́нний,прикметник,,однина чол. р. називний,некліти́нний,neklʲiˈtɪnːei̯,neklʲiˈtɪnːei̯,neklʲiˈtɪnːei̯
ненаї́джений,прикметник,,однина сер. р. місцевий,ненаї́дженім,nenɐˈjid͡ʒenʲim,nenɐˈjid͡ʒenʲim,nenɐˈjid͡ʒenʲim
неосу́дливий,прикметник,,однина жін. р. місцевий,неосу́дливій,neoˈsudleu̯ʲii̯,neoˈsudleu̯ʲii̯,neoˈsudleu̯ʲii̯
однобра́тній,прикметник,,однина чол. р. називний,однобра́тній,ɔdnɔˈbrɑtʲnʲii̯,ɔdnɔˈbrɑtʲnʲii̯,ɔdnɔˈbrɑtʲnʲii̯
па́нківський,прикметник,,однина жін. р. місцевий,па́нківській,ˈpɑnʲkʲiu̯sʲkʲii̯,ˈpɑnʲkʲiu̯sʲkʲii̯,ˈpɑnʲkʲiu̯sʲkʲii̯
пеліка́новий,прикметник,,однина чол. р. називний,пеліка́новий,pelʲiˈkɑnɔu̯ei̯,pelʲiˈkɑnɔu̯ei̯,pelʲiˈkɑnɔu̯ei̯
пла́стиковий,прикметник,,однина сер. р. місцевий,пла́стиковім,ˈplɑstekɔu̯ʲim,ˈplɑstekɔu̯ʲim,ˈplɑstekɔu̯ʲim
пружи́нистий,прикметник,,однина жін. р. місцевий,пружи́нистій,prʊˈʒɪnesʲtʲii̯,prʊˈʒɪnesʲtʲii̯,prʊˈʒɪnesʲtʲii̯
пури́стський,прикметник,,однина чол. р. називний,пури́стський,pʊˈrɪsʲkei̯,pʊˈrɪsʲkei̯,pʊˈrɪsʲkei̯
підбі́йковий,прикметник,,однина жін. р. місцевий,підбі́йковій,pʲiˈdʲbʲii̯kɔu̯ʲii̯,pʲiˈdʲbʲii̯kɔu̯ʲii̯,pʲiˈdʲbʲii̯kɔu̯ʲii̯
рису́нчастий,прикметник,,однина сер. р. місцевий,рису́нчастім,reˈsunt͡ʃɐsʲtʲim,reˈsunt͡ʃɐsʲtʲim,reˈsunt͡ʃɐsʲtʲim
річня́нський,прикметник,,однина чол. р. місцевий,річня́нськім,rʲiˈt͡ʃnʲɑnsʲkʲim,rʲiˈt͡ʃnʲɑnsʲkʲim,rʲiˈt͡ʃnʲɑnsʲkʲim
сара́євський,прикметник,,однина жін. р. місцевий,сара́євській,sɐˈrɑjeu̯sʲkʲii̯,sɐˈrɑjeu̯sʲkʲii̯,sɐˈrɑjeu̯sʲkʲii̯
ста́лівський,прикметник,,однина чол. р. називний,ста́лівський,ˈstɑlʲiu̯sʲkei̯,ˈstɑlʲiu̯sʲkei̯,ˈstɑlʲiu̯sʲkei̯
сіре́сенький,прикметник,,однина чол. р. називний,сіре́сенький,sʲiˈrɛsenʲkei̯,sʲiˈrɛsenʲkei̯,sʲiˈrɛsenʲkei̯
сірничко́вий,прикметник,,однина сер. р. місцевий,сірничко́вім,sʲirneˈt͡ʃkɔu̯ʲim,sʲirneˈt͡ʃkɔu̯ʲim,sʲirneˈt͡ʃkou̯ʲim
тридюймо́вий,прикметник,,однина чол. р. називний,тридюймо́вий,tredʲʊi̯ˈmɔu̯ei̯,tredʲʊi̯ˈmɔu̯ei̯,tredʲʊi̯ˈmou̯ei̯
тро́щинський,прикметник,,однина сер. р. місцевий,тро́щинськім,ˈtrɔʃt͡ʃensʲkʲim,ˈtrɔʃt͡ʃensʲkʲim,ˈtroʃt͡ʃensʲkʲim
трьоха́ктний,прикметник,,однина чол. р. місцевий,трьоха́ктнім,tʲrʲɔˈxɑktʲnʲim,tʲrʲɔˈxɑktʲnʲim,tʲrʲɔˈxɑktʲnʲim
ударнико́вий,прикметник,,однина сер. р. місцевий,ударнико́вім,ʊdɐrneˈkɔu̯ʲim,ʊdɐrneˈkɔu̯ʲim,udɐrneˈkou̯ʲim
фосфори́чний,прикметник,,однина чол. р. місцевий,фосфори́чнім,fɔsfɔˈrɪt͡ʃnʲim,fɔsfɔˈrɪt͡ʃnʲim,fɔsfɔˈrɪt͡ʃnʲim
хвилево́дний,прикметник,,однина чол. р. називний,хвилево́дний,xʋeleˈu̯ɔdnei̯,xʋeleˈu̯ɔdnei̯,xʋeleˈu̯odnei̯
хевсу́рський,прикметник,,однина жін. р. місцевий,хевсу́рській,xeu̯ˈsursʲkʲii̯,xeu̯ˈsursʲkʲii̯,xeu̯ˈsursʲkʲii̯
хо́взівський,прикметник,,однина сер. р. місцевий,хо́взівськім,ˈxɔu̯zʲiu̯sʲkʲim,ˈxɔu̯zʲiu̯sʲkʲim,ˈxou̯zʲiu̯sʲkʲim
худе́сенький,прикметник,,однина чол. р. місцевий,худе́сенькім,xʊˈdɛsenʲkʲim,xʊˈdɛsenʲkʲim,xʊˈdɛsenʲkʲim
ши́шківський,прикметник,,однина сер. р. місцевий,ши́шківськім,ˈʃɪʃkʲiu̯sʲkʲim,ˈʃɪʃkʲiu̯sʲkʲim,ˈʃɪʃkʲiu̯sʲkʲim
широче́нький,прикметник,,однина чол. р. називний,широче́нький,ʃerɔˈt͡ʃɛnʲkei̯,ʃerɔˈt͡ʃɛnʲkei̯,ʃerɔˈt͡ʃɛnʲkei̯
шкуроде́рний,прикметник,,однина сер. р. місцевий,шкуроде́рнім,ʃkʊrɔˈdɛrnʲim,ʃkʊrɔˈdɛrnʲim,ʃkʊrɔˈdɛrnʲim
я́вірницький,прикметник,,однина чол. р. місцевий,я́вірницькім,ˈjɑu̯ʲirnet͡sʲkʲim,ˈjɑu̯ʲirnet͡sʲkʲim,ˈjɑu̯ʲirnet͡sʲkʲim
інсулі́новий,прикметник,,однина чол. р. місцевий,інсулі́новім,insʊˈlʲinɔu̯ʲim,insʊˈlʲinɔu̯ʲim,insʊˈlʲinɔu̯ʲim
іорда́нський,прикметник,,однина чол. р. місцевий,іорда́нськім,iɔrˈdɑnsʲkʲim,iɔrˈdɑnsʲkʲim,iɔrˈdɑnsʲkʲim
агаря́нський,прикметник,,однина сер. р. місцевий,агаря́нському,ɐɦɐˈrʲɑnʲsʲkɔmʊ,ɐɦɐˈrʲɑnʲsʲkɔmʊ,ɐɦɐˈrʲɑnʲsʲkɔmʊ
алата́уський,прикметник,,однина сер. р. місцевий,алата́уському,ɐlɐˈtɑʊsʲkɔmʊ,ɐlɐˈtɑʊsʲkɔmʊ,ɐlɐˈtɑʊsʲkɔmʊ
багня́нський,прикметник,,однина чол. р. місцевий,багня́нському,bɐˈɦnʲɑnʲsʲkɔmʊ,bɐˈɦnʲɑnʲsʲkɔmʊ,bɐˈɦnʲɑnʲsʲkɔmʊ
бе́ртницький,прикметник,,однина чол. р. місцевий,бе́ртницькому,ˈbɛrtnet͡sʲkɔmʊ,ˈbɛrtnet͡sʲkɔmʊ,ˈbɛrtnet͡sʲkɔmʊ
бря́зкальний,прикметник,,однина чол. р. місцевий,бря́зкальному,ˈbrʲɑzkɐlʲnɔmʊ,ˈbrʲɑzkɐlʲnɔmʊ,ˈbrʲɑzkɐlʲnɔmʊ
велико́цький,прикметник,,однина сер. р. місцевий,велико́цькому,ʋeleˈkɔt͡sʲkɔmʊ,ʋeleˈkɔt͡sʲkɔmʊ,ʋeleˈkot͡sʲkɔmʊ
вінцено́сний,прикметник,,однина чол. р. місцевий,вінцено́сному,ʋʲint͡seˈnɔsnɔmʊ,ʋʲint͡seˈnɔsnɔmʊ,ʋʲint͡seˈnosnɔmʊ
газовбирни́й,прикметник,,однина сер. р. місцевий,газовбирно́му,ɦɐzɔu̯berˈnɔmʊ,ɦɐzɔu̯berˈnɔmʊ,ɦɐzɔu̯berˈnomʊ
глу́шинський,прикметник,,однина сер. р. місцевий,глу́шинському,ˈɦluʃenʲsʲkɔmʊ,ˈɦluʃenʲsʲkɔmʊ,ˈɦluʃenʲsʲkɔmʊ
голубе́нький,прикметник,,однина чол. р. місцевий,голубе́нькому,ɦɔlʊˈbɛnʲkɔmʊ,ɦɔlʊˈbɛnʲkɔmʊ,ɦɔlʊˈbɛnʲkɔmʊ
гра́бинський,прикметник,,однина сер. р. місцевий,гра́бинському,ˈɦrɑbenʲsʲkɔmʊ,ˈɦrɑbenʲsʲkɔmʊ,ˈɦrɑbenʲsʲkɔmʊ
джури́нський,прикметник,,однина чол. р. місцевий,джури́нському,d͡ʒʊˈrɪnʲsʲkɔmʊ,d͡ʒʊˈrɪnʲsʲkɔmʊ,d͡ʒʊˈrɪnʲsʲkɔmʊ
до́кторський,прикметник,,однина сер. р. місцевий,до́кторському,ˈdɔktɔrsʲkɔmʊ,ˈdɔktɔrsʲkɔmʊ,ˈdoktɔrsʲkɔmʊ
ентропі́чний,прикметник,,однина сер. р. місцевий,ентропі́чному,entroˈpʲit͡ʃnɔmʊ,entroˈpʲit͡ʃnɔmʊ,entroˈpʲit͡ʃnɔmʊ
жи́рківський,прикметник,,однина чол. р. місцевий,жи́рківському,ˈʒɪrkʲiu̯sʲkɔmʊ,ˈʒɪrkʲiu̯sʲkɔmʊ,ˈʒɪrkʲiu̯sʲkɔmʊ
жукове́цький,прикметник,,однина сер. р. місцевий,жукове́цькому,ʒʊkɔˈu̯ɛt͡sʲkɔmʊ,ʒʊkɔˈu̯ɛt͡sʲkɔmʊ,ʒʊkɔˈu̯ɛt͡sʲkɔmʊ
заї́чинський,прикметник,,однина сер. р. місцевий,заї́чинському,zɐˈjit͡ʃenʲsʲkɔmʊ,zɐˈjit͡ʃenʲsʲkɔmʊ,zɐˈjit͡ʃenʲsʲkɔmʊ
кли́нівський,прикметник,,однина чол. р. місцевий,кли́нівському,ˈklɪnʲiu̯sʲkɔmʊ,ˈklɪnʲiu̯sʲkɔmʊ,ˈklɪnʲiu̯sʲkɔmʊ
кова́льський,прикметник,,однина чол. р. місцевий,кова́льському,kɔˈu̯ɑlʲsʲkɔmʊ,kɔˈu̯ɑlʲsʲkɔmʊ,kɔˈu̯ɑlʲsʲkɔmʊ
коржівськи́й,прикметник,,однина чол. р. місцевий,коржівсько́му,kɔrʒʲiu̯ˈsʲkɔmʊ,kɔrʒʲiu̯ˈsʲkɔmʊ,kɔrʒʲiu̯ˈsʲkomʊ
лино́вицький,прикметник,,однина сер. р. місцевий,лино́вицькому,leˈnɔu̯et͡sʲkɔmʊ,leˈnɔu̯et͡sʲkɔmʊ,leˈnou̯et͡sʲkɔmʊ
лікува́льний,прикметник,,однина сер. р. місцевий,лікува́льному,lʲikʊˈu̯ɑlʲnɔmʊ,lʲikʊˈu̯ɑlʲnɔmʊ,lʲikʊˈu̯ɑlʲnɔmʊ
невідчу́тний,прикметник,,однина чол. р. місцевий,невідчу́тному,neu̯ʲiˈd͡ʒt͡ʃutnɔmʊ,neu̯ʲiˈd͡ʒt͡ʃutnɔmʊ,neu̯ʲiˈd͡ʒt͡ʃutnɔmʊ
нерозлу́чний,прикметник,,однина сер. р. місцевий,нерозлу́чному,neroˈzlut͡ʃnɔmʊ,neroˈzlut͡ʃnɔmʊ,neroˈzlut͡ʃnɔmʊ
пригірськи́й,прикметник,,однина чол. р. місцевий,пригірсько́му,preɦʲirˈsʲkɔmʊ,preɦʲirˈsʲkɔmʊ,preɦʲirˈsʲkomʊ
підсте́льний,прикметник,,однина сер. р. місцевий,підсте́льному,pʲiˈd͡zstɛlʲnɔmʊ,pʲiˈd͡zstɛlʲnɔmʊ,pʲiˈd͡zstɛlʲnɔmʊ
рахні́вський,прикметник,,однина сер. р. місцевий,рахні́вському,rɐˈxnʲiu̯sʲkɔmʊ,rɐˈxnʲiu̯sʲkɔmʊ,rɐˈxnʲiu̯sʲkɔmʊ
спо́нсоровий,прикметник,,однина чол. р. місцевий,спо́нсоровому,ˈspɔnsɔrɔu̯ɔmʊ,ˈspɔnsɔrɔu̯ɔmʊ,ˈsponsɔrɔu̯ɔmʊ
стіноби́тний,прикметник,,однина сер. р. місцевий,стіноби́тному,sʲtʲinɔˈbɪtnɔmʊ,sʲtʲinɔˈbɪtnɔmʊ,sʲtʲinɔˈbɪtnɔmʊ
суперважки́й,прикметник,,однина сер. р. місцевий,суперважко́му,sʊperʋɐˈʒkɔmʊ,sʊperʋɐˈʒkɔmʊ,sʊperʋɐˈʒkomʊ
таба́ївський,прикметник,,однина сер. р. місцевий,таба́ївському,tɐˈbɑjiu̯sʲkɔmʊ,tɐˈbɑjiu̯sʲkɔmʊ,tɐˈbɑjiu̯sʲkɔmʊ
турне́псовий,прикметник,,однина чол. р. місцевий,турне́псовому,tʊrˈnɛpsɔu̯ɔmʊ,tʊrˈnɛpsɔu̯ɔmʊ,tʊrˈnɛpsɔu̯ɔmʊ
украї́нський,прикметник,,однина чол. р. місцевий,украї́нському,ʊkrɐˈjinʲsʲkɔmʊ,ʊkrɐˈjinʲsʲkɔmʊ,ukrɐˈjinʲsʲkɔmʊ
фіориту́рний,прикметник,,однина сер. р. місцевий,фіориту́рному,fʲiɔreˈturnɔmʊ,fʲiɔreˈturnɔmʊ,fʲiɔreˈturnɔmʊ
хорове́цький,прикметник,,однина сер. р. місцевий,хорове́цькому,xɔrɔˈu̯ɛt͡sʲkɔmʊ,xɔrɔˈu̯ɛt͡sʲkɔmʊ,xɔrɔˈu̯ɛt͡sʲkɔmʊ
ціанамі́дний,прикметник,,однина сер. р. місцевий,ціанамі́дному,t͡sʲiɐnɐˈmʲidnɔmʊ,t͡sʲiɐnɐˈmʲidnɔmʊ,t͡sʲiɐnɐˈmʲidnɔmʊ
чорномо́рдий,прикметник,,однина сер. р. місцевий,чорномо́рдому,t͡ʃɔrnɔˈmɔrdɔmʊ,t͡ʃɔrnɔˈmɔrdɔmʊ,t͡ʃɔrnɔˈmordɔmʊ
ґанджува́тий,прикметник,,однина чол. р. місцевий,ґанджува́тому,ɡɐnd͡ʒʊˈu̯ɑtɔmʊ,ɡɐnd͡ʒʊˈu̯ɑtɔmʊ,ɡɐnd͡ʒʊˈu̯ɑtɔmʊ
полко́вників,прикметник,,однина чол. р. місцевий,полко́вниковому,pɔlˈkɔu̯nekɔu̯ɔmʊ,pɔlˈkɔu̯nekɔu̯ɔmʊ,pɔlˈkou̯nekɔu̯ɔmʊ
викрикі́сний,прикметник,,однина жін. р. знахідний,викрикі́сну,ʋekreˈkʲisnʊ,ʋekreˈkʲisnʊ,ʋekreˈkʲisnʊ
віто́нізький,прикметник,,однина жін. р. знахідний,віто́нізьку,ʋʲiˈtɔnʲizʲkʊ,ʋʲiˈtɔnʲizʲkʊ,ʋʲiˈtonʲizʲkʊ
гра́мівський,прикметник,,однина жін. р. знахідний,гра́мівську,ˈɦrɑmʲiu̯sʲkʊ,ˈɦrɑmʲiu̯sʲkʊ,ˈɦrɑmʲiu̯sʲkʊ
дації́вський,прикметник,,однина жін. р. знахідний,дації́вську,dɐt͡sʲiˈjiu̯sʲkʊ,dɐt͡sʲiˈjiu̯sʲkʊ,dɐt͡sʲiˈjiu̯sʲkʊ
деграду́ючий,прикметник,,однина жін. р. знахідний,деграду́ючу,deɦrɐˈdujʊt͡ʃʊ,deɦrɐˈdujʊt͡ʃʊ,deɦrɐˈdujʊt͡ʃʊ
дельфі́новий,прикметник,,однина сер. р. знахідний,дельфі́нове,delʲˈfʲinɔu̯e,delʲˈfʲinɔu̯e,delʲˈfʲinɔu̯e
дія́льнісний,прикметник,,однина жін. р. знахідний,дія́льнісну,dʲiˈjɑlʲnʲisnʊ,dʲiˈjɑlʲnʲisnʊ,dʲiˈjɑlʲnʲisnʊ
заупокі́йний,прикметник,,однина жін. р. знахідний,заупокі́йну,zɐʊpoˈkʲii̯nʊ,zɐʊpoˈkʲii̯nʊ,zɐʊpoˈkʲii̯nʊ
ка́лчівський,прикметник,,однина сер. р. знахідний,ка́лчівське,ˈkɑlt͡ʃʲiu̯sʲke,ˈkɑlt͡ʃʲiu̯sʲke,ˈkɑlt͡ʃʲiu̯sʲke
ма́гдинський,прикметник,,однина сер. р. знахідний,ма́гдинське,ˈmɑɦdenʲsʲke,ˈmɑɦdenʲsʲke,ˈmɑɦdenʲsʲke
маркі́вський,прикметник,,однина жін. р. знахідний,маркі́вську,mɐrˈkʲiu̯sʲkʊ,mɐrˈkʲiu̯sʲkʊ,mɐrˈkʲiu̯sʲkʊ
напухи́рений,прикметник,,однина жін. р. знахідний,напухи́рену,nɐpʊˈxɪrenʊ,nɐpʊˈxɪrenʊ,nɐpʊˈxɪrenʊ
небалаку́чий,прикметник,,однина сер. р. знахідний,небалаку́че,nebɐlɐˈkut͡ʃe,nebɐlɐˈkut͡ʃe,nebɐlɐˈkut͡ʃe
несмуга́стий,прикметник,,однина сер. р. знахідний,несмуга́сте,nesmʊˈɦɑste,nesmʊˈɦɑste,nesmʊˈɦɑste
полігло́тний,прикметник,,однина сер. р. знахідний,полігло́тне,pɔlʲiˈɦlɔtne,pɔlʲiˈɦlɔtne,pɔlʲiˈɦlotne
ре́кшинський,прикметник,,однина жін. р. знахідний,ре́кшинську,ˈrɛkʃenʲsʲkʊ,ˈrɛkʃenʲsʲkʊ,ˈrɛkʃenʲsʲkʊ
ру́бленський,прикметник,,однина сер. р. знахідний,ру́бленське,ˈrublenʲsʲke,ˈrublenʲsʲke,ˈrublenʲsʲke
са́жальський,прикметник,,однина жін. р. знахідний,са́жальську,ˈsɑʒɐlʲsʲkʊ,ˈsɑʒɐlʲsʲkʊ,ˈsɑʒɐlʲsʲkʊ
ста́дницький,прикметник,,однина сер. р. знахідний,ста́дницьке,ˈstɑdnet͡sʲke,ˈstɑdnet͡sʲke,ˈstɑdnet͡sʲke
станіо́левий,прикметник,,однина сер. р. знахідний,станіо́леве,stɐnʲiˈɔleu̯e,stɐnʲiˈɔleu̯e,stɐnʲiˈoleu̯e
субфоне́мний,прикметник,,однина жін. р. знахідний,субфоне́мну,sʊbfɔˈnɛmnʊ,sʊbfɔˈnɛmnʊ,sʊbfɔˈnɛmnʊ
сіткови́дний,прикметник,,однина жін. р. знахідний,сіткови́дну,sʲitkɔˈu̯ɪdnʊ,sʲitkɔˈu̯ɪdnʊ,sʲitkɔˈu̯ɪdnʊ
хромофо́бний,прикметник,,однина сер. р. знахідний,хромофо́бне,xrɔmɔˈfɔbne,xrɔmɔˈfɔbne,xrɔmɔˈfobne
цирко́нієвий,прикметник,,однина сер. р. знахідний,цирко́нієве,t͡serˈkɔnʲijeu̯e,t͡serˈkɔnʲijeu̯e,t͡serˈkonʲijeu̯e
болга́рський,прикметник,,однина чол. р. знахідний,болга́рський,bɔlˈɦɑrsʲkei̯,bɔlˈɦɑrsʲkei̯,bɔlˈɦɑrsʲkei̯
бра́шпилевий,прикметник,,однина жін. р. давальний,бра́шпилевій,ˈbrɑʃpeleu̯ʲii̯,ˈbrɑʃpeleu̯ʲii̯,ˈbrɑʃpeleu̯ʲii̯
вузькува́тий,прикметник,,однина жін. р. давальний,вузькува́тій,wʊzʲkʊˈu̯ɑtʲii̯,wʊzʲkʊˈu̯ɑtʲii̯,wʊzʲkʊˈu̯ɑtʲii̯
габе́лко́вий,прикметник,,однина жін. р. давальний,габе́лко́вій,ɦɐˈbɛlˈkɔu̯ʲii̯,ɦɐˈbɛlˈkɔu̯ʲii̯,ɦɐˈbɛlˈkou̯ʲii̯
гені́чеський,прикметник,,однина жін. р. давальний,гені́чеській,ɦeˈnʲit͡ʃesʲkʲii̯,ɦeˈnʲit͡ʃesʲkʲii̯,ɦeˈnʲit͡ʃesʲkʲii̯
глу́шівський,прикметник,,однина чол. р. знахідний,глу́шівський,ˈɦluʃʲiu̯sʲkei̯,ˈɦluʃʲiu̯sʲkei̯,ˈɦluʃʲiu̯sʲkei̯
жа́шківський,прикметник,,однина чол. р. знахідний,жа́шківський,ˈʒɑʃkʲiu̯sʲkei̯,ˈʒɑʃkʲiu̯sʲkei̯,ˈʒɑʃkʲiu̯sʲkei̯
животво́рчий,прикметник,,однина жін. р. давальний,животво́рчій,ʒeu̯ɔˈtwɔrt͡ʃʲii̯,ʒeu̯ɔˈtwɔrt͡ʃʲii̯,ʒeu̯ɔˈtwort͡ʃʲii̯
капра́нський,прикметник,,однина жін. р. давальний,капра́нській,kɐˈprɑnsʲkʲii̯,kɐˈprɑnsʲkʲii̯,kɐˈprɑnsʲkʲii̯
княжа́нський,прикметник,,однина чол. р. знахідний,княжа́нський,knʲɐˈʒɑnʲsʲkei̯,knʲɐˈʒɑnʲsʲkei̯,knʲɐˈʒɑnʲsʲkei̯
конвалі́йний,прикметник,,однина жін. р. давальний,конвалі́йній,kɔnʋɐˈlʲii̯nʲii̯,kɔnʋɐˈlʲii̯nʲii̯,kɔnʋɐˈlʲii̯nʲii̯
лопухува́тий,прикметник,,однина жін. р. давальний,лопухува́тій,lɔpʊxʊˈu̯ɑtʲii̯,lɔpʊxʊˈu̯ɑtʲii̯,lɔpʊxʊˈu̯ɑtʲii̯
напівважки́й,прикметник,,однина чол. р. знахідний,напівважки́й,nɐpʲiu̯ːɐˈʒkɪi̯,nɐpʲiu̯ːɐˈʒkɪi̯,nɐpʲiu̯ːɐˈʒkɪi̯
невідбу́тний,прикметник,,однина чол. р. знахідний,невідбу́тний,neu̯ʲiˈdbutnei̯,neu̯ʲiˈdbutnei̯,neu̯ʲiˈdbutnei̯
незворо́тній,прикметник,,однина жін. р. давальний,незворо́тній,nezwɔˈrɔtʲnʲii̯,nezwɔˈrɔtʲnʲii̯,nezwɔˈrotʲnʲii̯
ну́жельський,прикметник,,однина чол. р. знахідний,ну́жельський,ˈnuʒelʲsʲkei̯,ˈnuʒelʲsʲkei̯,ˈnuʒelʲsʲkei̯
ободі́вський,прикметник,,однина жін. р. давальний,ободі́вській,ɔboˈdʲiu̯sʲkʲii̯,ɔboˈdʲiu̯sʲkʲii̯,ɔboˈdʲiu̯sʲkʲii̯
обтира́льний,прикметник,,однина жін. р. давальний,обтира́льній,ɔbteˈrɑlʲnʲii̯,ɔbteˈrɑlʲnʲii̯,ɔbteˈrɑlʲnʲii̯
однокопи́тий,прикметник,,однина жін. р. давальний,однокопи́тій,ɔdnɔkɔˈpɪtʲii̯,ɔdnɔkɔˈpɪtʲii̯,ɔdnɔkɔˈpɪtʲii̯
пасіона́рний,прикметник,,однина чол. р. знахідний,пасіона́рний,pɐsʲiɔˈnɑrnei̯,pɐsʲiɔˈnɑrnei̯,pɐsʲiɔˈnɑrnei̯
пи́стинський,прикметник,,однина жін. р. давальний,пи́стинській,ˈpɪstensʲkʲii̯,ˈpɪstensʲkʲii̯,ˈpɪstensʲkʲii̯
ри́бчинський,прикметник,,однина чол. р. знахідний,ри́бчинський,ˈrɪbt͡ʃenʲsʲkei̯,ˈrɪbt͡ʃenʲsʲkei̯,ˈrɪbt͡ʃenʲsʲkei̯
франтува́тий,прикметник,,однина чол. р. знахідний,франтува́тий,frɐntʊˈu̯ɑtei̯,frɐntʊˈu̯ɑtei̯,frɐntʊˈu̯ɑtei̯
шахра́йський,прикметник,,однина жін. р. давальний,шахра́йській,ʃɐˈxrɑi̯sʲkʲii̯,ʃɐˈxrɑi̯sʲkʲii̯,ʃɐˈxrɑi̯sʲkʲii̯
інома́рковий,прикметник,,однина жін. р. давальний,інома́рковій,inɔˈmɑrkɔu̯ʲii̯,inɔˈmɑrkɔu̯ʲii̯,inɔˈmɑrkɔu̯ʲii̯
байка́рський,прикметник,,однина чол. р. знахідний,байка́рського,bɐi̯ˈkɑrsʲkɔɦɔ,bɐi̯ˈkɑrsʲkɔɦɔ,bɐi̯ˈkɑrsʲkɔɦɔ
балеа́рський,прикметник,,однина чол. р. знахідний,балеа́рського,bɐleˈɑrsʲkɔɦɔ,bɐleˈɑrsʲkɔɦɔ,bɐleˈɑrsʲkɔɦɔ
бездохо́дний,прикметник,,однина сер. р. давальний,бездохо́дному,bezdɔˈxɔdnɔmʊ,bezdɔˈxɔdnɔmʊ,bezdɔˈxodnɔmʊ
бульйо́новий,прикметник,,однина чол. р. давальний,бульйо́новому,bʊˈlʲjɔnɔu̯ɔmʊ,bʊˈlʲjɔnɔu̯ɔmʊ,bʊˈlʲjonɔu̯ɔmʊ
бутиле́новий,прикметник,,однина чол. р. знахідний,бутиле́нового,bʊteˈlɛnɔu̯ɔɦɔ,bʊteˈlɛnɔu̯ɔɦɔ,bʊteˈlɛnɔu̯ɔɦɔ
вну́ківський,прикметник,,однина чол. р. знахідний,вну́ківського,ˈwnukʲiu̯sʲkɔɦɔ,ˈwnukʲiu̯sʲkɔɦɔ,ˈwnukʲiu̯sʲkɔɦɔ
вібра́торний,прикметник,,однина сер. р. давальний,вібра́торному,ʋʲiˈbrɑtɔrnɔmʊ,ʋʲiˈbrɑtɔrnɔmʊ,ʋʲiˈbrɑtɔrnɔmʊ
вірьо́вочний,прикметник,,однина сер. р. давальний,вірьо́вочному,ʋʲiˈrʲɔu̯ɔt͡ʃnɔmʊ,ʋʲiˈrʲɔu̯ɔt͡ʃnɔmʊ,ʋʲiˈrʲou̯ɔt͡ʃnɔmʊ
драча́нський,прикметник,,однина сер. р. давальний,драча́нському,drɐˈt͡ʃɑnʲsʲkɔmʊ,drɐˈt͡ʃɑnʲsʲkɔmʊ,drɐˈt͡ʃɑnʲsʲkɔmʊ
дієцезі́йний,прикметник,,однина чол. р. знахідний,дієцезі́йного,dʲijet͡seˈzʲii̯nɔɦɔ,dʲijet͡seˈzʲii̯nɔɦɔ,dʲijet͡seˈzʲii̯nɔɦɔ
езотери́чний,прикметник,,однина сер. р. давальний,езотери́чному,ezɔteˈrɪt͡ʃnɔmʊ,ezɔteˈrɪt͡ʃnɔmʊ,ezɔteˈrɪt͡ʃnɔmʊ
епіго́нський,прикметник,,однина чол. р. знахідний,епіго́нського,epʲiˈɦɔnʲsʲkɔɦɔ,epʲiˈɦɔnʲsʲkɔɦɔ,epʲiˈɦonʲsʲkɔɦɔ
клині́вський,прикметник,,однина чол. р. знахідний,клині́вського,kleˈnʲiu̯sʲkɔɦɔ,kleˈnʲiu̯sʲkɔɦɔ,kleˈnʲiu̯sʲkɔɦɔ
кру́тівський,прикметник,,однина чол. р. давальний,кру́тівському,ˈkrutʲiu̯sʲkɔmʊ,ˈkrutʲiu̯sʲkɔmʊ,ˈkrutʲiu̯sʲkɔmʊ
круглобо́кий,прикметник,,однина чол. р. знахідний,круглобо́кого,krʊɦlɔˈbɔkɔɦɔ,krʊɦlɔˈbɔkɔɦɔ,krʊɦlɔˈbokɔɦɔ
носо́вицький,прикметник,,однина чол. р. знахідний,носо́вицького,nɔˈsɔu̯et͡sʲkɔɦɔ,nɔˈsɔu̯et͡sʲkɔɦɔ,nɔˈsou̯et͡sʲkɔɦɔ
о́стри́цький,прикметник,,однина чол. р. давальний,о́стри́цькому,ˈɔˈstrɪt͡sʲkɔmʊ,ˈɔˈstrɪt͡sʲkɔmʊ,ˈoˈstrɪt͡sʲkɔmʊ
па́нківський,прикметник,,однина чол. р. знахідний,па́нківського,ˈpɑnʲkʲiu̯sʲkɔɦɔ,ˈpɑnʲkʲiu̯sʲkɔɦɔ,ˈpɑnʲkʲiu̯sʲkɔɦɔ
парфя́нський,прикметник,,однина чол. р. знахідний,парфя́нського,pɐrˈfʲɑnʲsʲkɔɦɔ,pɐrˈfʲɑnʲsʲkɔɦɔ,pɐrˈfʲɑnʲsʲkɔɦɔ
позна́нський,прикметник,,однина чол. р. давальний,позна́нському,pɔˈznɑnʲsʲkɔmʊ,pɔˈznɑnʲsʲkɔmʊ,pɔˈznɑnʲsʲkɔmʊ
